Ensembl Gene ID	Gene Symbol	Assigned Tier	Possible Tiers	Pharos Protein Family
ENSG00000088832.17	FKBP1A	T2	T2,T3,T4	Enzyme
ENSG00000145864.13	GABRB2	T2	T2,T3,T4	Ion Channel
ENSG00000115232.14	ITGA4	T2	T2,T3,T4	Other
ENSG00000257335.8	MGAM	T2	T2,T3,T4	Enzyme
ENSG00000089250.19	NOS1	T2	T2,T3,T4	Enzyme
ENSG00000125255.7	SLC10A2	T2	T2,T3,T4	Transporter
ENSG00000138448.12	ITGAV	T2	T2,T3,T4,T5	Other
ENSG00000134352.20	IL6ST	T2	T2,T3,T5	Other
ENSG00000111275.13	ALDH2	T2	T2,T4	Enzyme
ENSG00000126895.15	AVPR2	T2	T2,T4	GPCR
ENSG00000123454.12	DBH	T2	T2,T4	Enzyme
ENSG00000102967.12	DHODH	T2	T2,T4	Enzyme
ENSG00000161509.14	GRIN2C	T2	T2,T4	Ion Channel
ENSG00000113749.7	HRH2	T2	T2,T4	GPCR
ENSG00000149305.7	HTR3B	T2	T2,T4	Ion Channel
ENSG00000130037.5	KCNA5	T2	T2,T4	Ion Channel
ENSG00000116329.11	OPRD1	T2	T2,T4	GPCR
ENSG00000135124.14	P2RX4	T2	T2,T4	Ion Channel
ENSG00000152270.9	PDE3B	T2	T2,T4	Enzyme
ENSG00000082175.15	PGR	T2	T2,T4	Nuclear Receptor
ENSG00000069764.10	PLA2G10	T2	T2,T4	Enzyme
ENSG00000122194.18	PLG	T2	T2,T4	Enzyme
ENSG00000204983.14	PRSS1	T2	T2,T4	Enzyme
ENSG00000196218.13	RYR1	T2	T2,T4	Ion Channel
ENSG00000007314.12	SCN4A	T2	T2,T4	Ion Channel
ENSG00000104549.12	SQLE	T2	T2,T4	Enzyme
ENSG00000129167.9	TPH1	T2	T2,T4	Enzyme
ENSG00000101958.14	GLRA2	T2	T2,T4,T5	Ion Channel
ENSG00000180739.14	S1PR5	T2	T2,T4,T5	GPCR
ENSG00000111319.13	SCNN1A	T2	T2,T4,T5	Ion Channel
ENSG00000168447.11	SCNN1B	T2	T2,T4,T5	Ion Channel
ENSG00000166828.3	SCNN1G	T2	T2,T4,T5	Ion Channel
ENSG00000010610.10	CD4	T2	T2,T5	Other
ENSG00000184185.10	KCNJ12	T2	T2,T5	Ion Channel
ENSG00000168065.16	SLC22A11	T2	T2,T5	Transporter
ENSG00000183023.18	SLC8A1	T2	T2,T5	Transporter
ENSG00000107779.14	BMPR1A	T2	T2,T3	Kinase
ENSG00000166165.13	CKB	T2	T2,T3	Kinase
ENSG00000104879.5	CKM	T2	T2,T3	Kinase
ENSG00000223572.10	CKMT1A	T2	T2,T3	Kinase
ENSG00000131730.16	CKMT2	T2	T2,T3	Kinase
ENSG00000110195.13	FOLR1	T2	T2,T3	Other
ENSG00000130005.13	GAMT	T2	T2,T3	Enzyme
ENSG00000112116.10	IL17F	T2	T2,T3	Other
ENSG00000162989.5	KCNJ3	T2	T2,T3	Ion Channel
ENSG00000079999.14	KEAP1	T2	T2,T3	Other
ENSG00000226979.8	LTA	T2	T2,T3	Other
ENSG00000077150.20	NFKB2	T2	T2,T3	Transcription Factor
ENSG00000160209.19	PDXK	T2	T2,T3	Kinase
ENSG00000147955.17	SIGMAR1	T2	T2,T3	Other
ENSG00000057252.13	SOAT1	T2	T2,T3	Enzyme
ENSG00000167941.3	SOST	T2	T2,T3	Other
ENSG00000114854.8	TNNC1	T2	T2,T3	Other
ENSG00000169194.9	IL13	T2	T2,T3	Other
ENSG00000036565.15	SLC18A1	T2	T2,T3	Transporter
ENSG00000104783.14	KCNN4	T2	T2,T3	Ion Channel
ENSG00000101966.12	XIAP	T2	T2,T3	Enzyme
ENSG00000140443.15	IGF1R	T2	T2,T3,T4,T5	Kinase
ENSG00000165025.15	SYK	T2	T2,T3,T4	Kinase
ENSG00000257365.8	FNTB	T2	T2,T3,T4	Enzyme
ENSG00000091879.14	ANGPT2	T2	T2,T3,T4	Other
ENSG00000117594.10	HSD11B1	T2	T2,T3,T4	Enzyme
ENSG00000196549.11	MME	T2	T2,T3,T5	Enzyme
ENSG00000131471.7	AOC3	T2	T2,T3,T5	Enzyme
ENSG00000121966.7	CXCR4	T2	T2,T3,T4	GPCR
ENSG00000119912.17	IDE	T2	T2,T3,T4	Enzyme
ENSG00000137673.9	MMP7	T2	T2,T3,T4	Enzyme
ENSG00000113580.15	NR3C1	T2	T2,T3,T4	Nuclear Receptor
ENSG00000177272.9	KCNA3	T2	T2,T3,T4,T5	Ion Channel
ENSG00000102524.11	TNFSF13B	T2	T2,T3,T5	Other
ENSG00000183044.12	ABAT	T2	T2,T3,T4	Enzyme
ENSG00000166148.4	AVPR1A	T2	T2,T3,T4	GPCR
ENSG00000074410.14	CA12	T2	T2,T3,T4	Enzyme
ENSG00000160791.13	CCR5	T2	T2,T3,T4	GPCR
ENSG00000001630.17	CYP51A1	T2	T2,T3,T4	Enzyme
ENSG00000116032.5	GRIN3B	T2	T2,T3,T4	Ion Channel
ENSG00000168959.14	GRM5	T2	T2,T3,T4	GPCR
ENSG00000139626.16	ITGB7	T2	T2,T3,T4	Other
ENSG00000142515.15	KLK3	T2	T2,T3,T4	Enzyme
ENSG00000138823.13	MTTP	T2	T2,T3,T4	Other
ENSG00000007171.18	NOS2	T2	T2,T3,T4	Enzyme
ENSG00000143839.15	REN	T2	T2,T3,T4	Enzyme
ENSG00000130821.16	SLC6A8	T2	T2,T3,T4	Transporter
ENSG00000138435.16	CHRNA1	T2	T2,T3,T4,T5	Ion Channel
ENSG00000136160.17	EDNRB	T2	T2,T3,T4,T5	GPCR
ENSG00000163288.14	GABRB1	T2	T2,T3,T4,T5	Ion Channel
ENSG00000134489.7	HRH4	T2	T2,T3,T4,T5	GPCR
ENSG00000150093.19	ITGB1	T2	T2,T3,T4,T5	Other
ENSG00000104870.13	FCGRT	T2	T2,T3,T5	Other
ENSG00000115594.12	IL1R1	T2	T2,T3,T5	Other
ENSG00000196083.10	IL1RAP	T2	T2,T3,T5	Other
ENSG00000023839.12	ABCC2	T2	T2,T4	Transporter
ENSG00000069431.11	ABCC9	T2	T2,T4	Transporter
ENSG00000187758.8	ADH1A	T2	T2,T4	Enzyme
ENSG00000196616.14	ADH1B	T2	T2,T4	Enzyme
ENSG00000085662.14	AKR1B1	T2	T2,T4	Enzyme
ENSG00000132855.5	ANGPTL3	T2	T2,T4	Other
ENSG00000168398.6	BDKRB2	T2	T2,T4	GPCR
ENSG00000118298.12	CA14	T2	T2,T4	Enzyme
ENSG00000164879.7	CA3	T2	T2,T4	Enzyme
ENSG00000198216.12	CACNA1E	T2	T2,T4	Ion Channel
ENSG00000157184.7	CPT2	T2	T2,T4	Enzyme
ENSG00000160882.13	CYP11B1	T2	T2,T4	Enzyme
ENSG00000196482.18	ESRRG	T2	T2,T4	Nuclear Receptor
ENSG00000168522.13	FNTA	T2	T2,T4	Enzyme
ENSG00000171298.13	GAA	T2	T2,T4	Enzyme
ENSG00000089597.18	GANAB	T2	T2,T4	Enzyme
ENSG00000061918.13	GUCY1B1	T2	T2,T4	Enzyme
ENSG00000072506.13	HSD17B10	T2	T2,T4	Enzyme
ENSG00000135312.7	HTR1B	T2	T2,T4	GPCR
ENSG00000140678.17	ITGAX	T2	T2,T4	Other
ENSG00000143105.7	KCNA10	T2	T2,T4	Ion Channel
ENSG00000177301.15	KCNA2	T2	T2,T4	Ion Channel
ENSG00000182255.7	KCNA4	T2	T2,T4	Ion Channel
ENSG00000151079.7	KCNA6	T2	T2,T4	Ion Channel
ENSG00000104848.1	KCNA7	T2	T2,T4	Ion Channel
ENSG00000158445.10	KCNB1	T2	T2,T4	Ion Channel
ENSG00000182674.6	KCNB2	T2	T2,T4	Ion Channel
ENSG00000129159.8	KCNC1	T2	T2,T4	Ion Channel
ENSG00000166006.14	KCNC2	T2	T2,T4	Ion Channel
ENSG00000131398.15	KCNC3	T2	T2,T4	Ion Channel
ENSG00000102057.10	KCND1	T2	T2,T4	Ion Channel
ENSG00000184408.10	KCND2	T2	T2,T4	Ion Channel
ENSG00000156113.23	KCNMA1	T2	T2,T4	Ion Channel
ENSG00000053918.18	KCNQ1	T2	T2,T4	Ion Channel
ENSG00000167748.11	KLK1	T2	T2,T4	Enzyme
ENSG00000109320.13	NFKB1	T2	T2,T4	Transcription Factor
ENSG00000164867.11	NOS3	T2	T2,T4	Enzyme
ENSG00000171759.10	PAH	T2	T2,T4	Enzyme
ENSG00000123360.12	PDE1B	T2	T2,T4	Enzyme
ENSG00000188257.11	PLA2G2A	T2	T2,T4	Enzyme
ENSG00000175535.6	PNLIP	T2	T2,T4	Enzyme
ENSG00000160801.14	PTH1R	T2	T2,T4	GPCR
ENSG00000120899.18	PTK2B	T2	T2,T4	Kinase
ENSG00000198626.17	RYR2	T2	T2,T4	Ion Channel
ENSG00000168356.12	SCN11A	T2	T2,T4	Ion Channel
ENSG00000153253.18	SCN3A	T2	T2,T4	Ion Channel
ENSG00000196876.18	SCN8A	T2	T2,T4	Ion Channel
ENSG00000090402.8	SI	T2	T2,T4	Enzyme
ENSG00000100652.5	SLC10A1	T2	T2,T4	Transporter
ENSG00000124067.17	SLC12A4	T2	T2,T4	Transporter
ENSG00000124140.14	SLC12A5	T2	T2,T4	Transporter
ENSG00000066230.12	SLC9A3	T2	T2,T4	Transporter
ENSG00000139287.13	TPH2	T2	T2,T4	Enzyme
ENSG00000188229.6	TUBB4B	T2	T2,T4	Other
ENSG00000103222.19	ABCC1	T2	T2,T4,T5	Transporter
ENSG00000163485.17	ADORA1	T2	T2,T4,T5	GPCR
ENSG00000197405.8	C5AR1	T2	T2,T4,T5	GPCR
ENSG00000013725.14	CD6	T2	T2,T4,T5	Other
ENSG00000080644.16	CHRNA3	T2	T2,T4,T5	Ion Channel
ENSG00000175344.18	CHRNA7	T2	T2,T4,T5	Ion Channel
ENSG00000152207.7	CYSLTR2	T2	T2,T4,T5	GPCR
ENSG00000181104.7	F2R	T2	T2,T4,T5	GPCR
ENSG00000145451.13	GLRA3	T2	T2,T4,T5	Ion Channel
ENSG00000171189.17	GRIK1	T2	T2,T4,T5	Ion Channel
ENSG00000179546.4	HTR1D	T2	T2,T4,T5	GPCR
ENSG00000169006.7	NTSR2	T2	T2,T4,T5	GPCR
ENSG00000169403.12	PTAFR	T2	T2,T4,T5	GPCR
ENSG00000162572.21	SCNN1D	T2	T2,T4,T5	Ion Channel
ENSG00000080293.10	SCTR	T2	T2,T4,T5	GPCR
ENSG00000157103.12	SLC6A1	T2	T2,T4,T5	Transporter
ENSG00000174417.3	TRHR	T2	T2,T4,T5	GPCR
ENSG00000130643.9	CALY	T2	T2,T5	Other
ENSG00000026508.19	CD44	T2	T2,T5	Other
ENSG00000177663.14	IL17RA	T2	T2,T5	Other
ENSG00000077238.14	IL4R	T2	T2,T5	Other
ENSG00000153029.14	MR1	T2	T2,T5	Other
ENSG00000260314.3	MRC1	T2	T2,T5	Other
ENSG00000213694.6	S1PR3	T2	T2,T5	GPCR
ENSG00000149575.7	SCN2B	T2	T2,T5	Ion Channel
ENSG00000177098.8	SCN4B	T2	T2,T5	Ion Channel
ENSG00000197901.11	SLC22A6	T2	T2,T5	Transporter
ENSG00000149452.16	SLC22A8	T2	T2,T5	Transporter
ENSG00000112759.19	SLC29A1	T2	T2,T5	Transporter
ENSG00000111371.16	SLC38A1	T2	T2,T5	Transporter
ENSG00000165349.12	SLC7A3	T2	T2,T5	Transporter
ENSG00000075239.14	ACAT1	T3	T3	Enzyme
ENSG00000135503.13	ACVR1B	T3	T3	Kinase
ENSG00000139567.13	ACVRL1	T3	T3	Kinase
ENSG00000151694.14	ADAM17	T3	T3	Enzyme
ENSG00000158859.10	ADAMTS4	T3	T3	Enzyme
ENSG00000204305.14	AGER	T3	T3	Other
ENSG00000100823.12	APEX1	T3	T3	Enzyme
ENSG00000165272.16	AQP3	T3	T3	Other
ENSG00000118520.15	ARG1	T3	T3	Enzyme
ENSG00000156802.13	ATAD2	T3	T3	Epigenetic
ENSG00000119778.15	ATAD2B	T3	T3	Epigenetic
ENSG00000123636.18	BAZ2B	T3	T3	TF-Epigenetic
ENSG00000113916.18	BCL6	T3	T3	Transcription Factor
ENSG00000101197.13	BIRC7	T3	T3	Other
ENSG00000138696.11	BMPR1B	T3	T3	Kinase
ENSG00000166164.15	BRD7	T3	T3	Epigenetic
ENSG00000108691.9	CCL2	T3	T3	Other
ENSG00000115009.13	CCL20	T3	T3	Other
ENSG00000118523.6	CCN2	T3	T3	Other
ENSG00000178562.18	CD28	T3	T3	Other
ENSG00000125726.11	CD70	T3	T3	Other
ENSG00000019582.15	CD74	T3	T3	Other
ENSG00000099954.18	CECR2	T3	T3	Epigenetic
ENSG00000008405.12	CRY1	T3	T3	Other
ENSG00000119535.18	CSF3R	T3	T3	Other
ENSG00000113712.18	CSNK1A1	T3	T3	Kinase
ENSG00000133275.16	CSNK1G2	T3	T3	Kinase
ENSG00000169245.6	CXCL10	T3	T3	Other
ENSG00000090932.11	DLL3	T3	T3	Other
ENSG00000128917.8	DLL4	T3	T3	Other
ENSG00000123992.19	DNPEP	T3	T3	Enzyme
ENSG00000135766.9	EGLN1	T3	T3	Other
ENSG00000129521.15	EGLN3	T3	T3	Other
ENSG00000204371.11	EHMT2	T3	T3	Epigenetic
ENSG00000086232.13	EIF2AK1	T3	T3	Kinase
ENSG00000128829.12	EIF2AK4	T3	T3	Kinase
ENSG00000106991.13	ENG	T3	T3	Other
ENSG00000054179.12	ENTPD2	T3	T3	Enzyme
ENSG00000100393.14	EP300	T3	T3	Epigenetic
ENSG00000164308.17	ERAP2	T3	T3	Enzyme
ENSG00000170323.9	FABP4	T3	T3	Other
ENSG00000183185.9	GABRR3	T3	T3	Ion Channel
ENSG00000115419.13	GLS	T3	T3	Enzyme
ENSG00000147257.15	GPC3	T3	T3	Other
ENSG00000100429.18	HDAC10	T3	T3	Epigenetic
ENSG00000147099.21	HDAC8	T3	T3	Epigenetic
ENSG00000203857.10	HSD3B1	T3	T3	Enzyme
ENSG00000131203.13	IDO1	T3	T3	Enzyme
ENSG00000017427.17	IGF1	T3	T3	Other
ENSG00000167244.21	IGF2	T3	T3	Other
ENSG00000150782.12	IL18	T3	T3	Other
ENSG00000115598.10	IL1RL2	T3	T3	Other
ENSG00000127318.11	IL22	T3	T3	Other
ENSG00000164509.15	IL31RA	T3	T3	Other
ENSG00000113520.11	IL4	T3	T3	Other
ENSG00000145839.2	IL9	T3	T3	Other
ENSG00000168918.14	INPP5D	T3	T3	Enzyme
ENSG00000184216.14	IRAK1	T3	T3	Kinase
ENSG00000120457.12	KCNJ5	T3	T3	Ion Channel
ENSG00000115548.17	KDM3A	T3	T3	Epigenetic
ENSG00000073614.13	KDM5A	T3	T3	TF-Epigenetic
ENSG00000132510.10	KDM6B	T3	T3	Epigenetic
ENSG00000138160.6	KIF11	T3	T3	Other
ENSG00000134545.13	KLRC1	T3	T3	Other
ENSG00000100600.15	LGMN	T3	T3	Enzyme
ENSG00000239961.3	LILRA4	T3	T3	Other
ENSG00000169783.12	LINGO1	T3	T3	Other
ENSG00000137507.11	LRRC32	T3	T3	Other
ENSG00000213316.10	LTC4S	T3	T3	Enzyme
ENSG00000154589.7	LY96	T3	T3	Other
ENSG00000074416.14	MGLL	T3	T3	Enzyme
ENSG00000106100.11	NOD1	T3	T3	Other
ENSG00000196408.11	NOXO1	T3	T3	Enzyme
ENSG00000141279.16	NPEPPS	T3	T3	Enzyme
ENSG00000118257.16	NRP2	T3	T3	Other
ENSG00000104805.16	NUCB1	T3	T3	Other
ENSG00000140876.11	NUDT7	T3	T3	Enzyme
ENSG00000142623.11	PADI1	T3	T3	Enzyme
ENSG00000142619.4	PADI3	T3	T3	Enzyme
ENSG00000159339.13	PADI4	T3	T3	Enzyme
ENSG00000168078.10	PBK	T3	T3	Kinase
ENSG00000163939.18	PBRM1	T3	T3	TF-Epigenetic
ENSG00000140479.17	PCSK6	T3	T3	Enzyme
ENSG00000170525.21	PFKFB3	T3	T3	Kinase
ENSG00000143398.20	PIP5K1A	T3	T3	Kinase
ENSG00000116711.10	PLA2G4A	T3	T3	Enzyme
ENSG00000184381.20	PLA2G6	T3	T3	Enzyme
ENSG00000115896.16	PLCL1	T3	T3	Enzyme
ENSG00000075651.16	PLD1	T3	T3	Enzyme
ENSG00000137509.11	PRCP	T3	T3	Enzyme
ENSG00000185238.13	PRMT3	T3	T3	Epigenetic
ENSG00000132600.16	PRMT7	T3	T3	Epigenetic
ENSG00000153707.17	PTPRD	T3	T3	Enzyme
ENSG00000069974.16	RAB27A	T3	T3	Enzyme
ENSG00000182175.14	RGMA	T3	T3	Other
ENSG00000115310.18	RTN4	T3	T3	Other
ENSG00000145391.13	SETD7	T3	T3	Epigenetic
ENSG00000115524.17	SF3B1	T3	T3	Other
ENSG00000164023.14	SGMS2	T3	T3	Enzyme
ENSG00000176974.20	SHMT1	T3	T3	Enzyme
ENSG00000157765.13	SLC34A2	T3	T3	Transporter
ENSG00000138449.11	SLC40A1	T3	T3	Transporter
ENSG00000100678.19	SLC8A3	T3	T3	Transporter
ENSG00000127616.18	SMARCA4	T3	T3	Epigenetic
ENSG00000088826.18	SMOX	T3	T3	Enzyme
ENSG00000102172.16	SMS	T3	T3	Enzyme
ENSG00000115661.14	STK16	T3	T3	Kinase
ENSG00000101945.17	SUV39H1	T3	T3	Epigenetic
ENSG00000151790.9	TDO2	T3	T3	Enzyme
ENSG00000101470.10	TNNC2	T3	T3	Other
ENSG00000122779.18	TRIM24	T3	T3	Epigenetic
ENSG00000154277.13	UCHL1	T3	T3	Enzyme
ENSG00000118939.17	UCHL3	T3	T3	Enzyme
ENSG00000162607.13	USP1	T3	T3	Enzyme
ENSG00000101557.15	USP14	T3	T3	Enzyme
ENSG00000196363.9	WDR5	T3	T3	Other
ENSG00000132703.4	APCS	T3	T3	Other
ENSG00000114573.10	ATP6V1A	T3	T3	Enzyme
ENSG00000076108.11	BAZ2A	T3	T3	TF-Epigenetic
ENSG00000204256.13	BRD2	T3	T3	Epigenetic
ENSG00000103855.18	CD276	T3	T3	Other
ENSG00000105388.16	CEACAM5	T3	T3	Other
ENSG00000005339.15	CREBBP	T3	T3	Epigenetic
ENSG00000141551.14	CSNK1D	T3	T3	Kinase
ENSG00000064601.19	CTSA	T3	T3	Enzyme
ENSG00000107562.16	CXCL12	T3	T3	Other
ENSG00000145194.18	ECE2	T3	T3	Enzyme
ENSG00000055332.18	EIF2AK2	T3	T3	Kinase
ENSG00000172071.14	EIF2AK3	T3	T3	Kinase
ENSG00000120915.14	EPHX2	T3	T3	Enzyme
ENSG00000140564.12	FURIN	T3	T3	Enzyme
ENSG00000263528.8	IKBKE	T3	T3	Kinase
ENSG00000115008.6	IL1A	T3	T3	Other
ENSG00000122641.11	INHBA	T3	T3	Other
ENSG00000117139.18	KDM5B	T3	T3	TF-Epigenetic
ENSG00000006062.17	MAP3K14	T3	T3	Kinase
ENSG00000107968.10	MAP3K8	T3	T3	Kinase
ENSG00000138379.5	MSTN	T3	T3	Other
ENSG00000138744.16	NAAA	T3	T3	Enzyme
ENSG00000135318.12	NT5E	T3	T3	Enzyme
ENSG00000167085.11	PHB	T3	T3	Other
ENSG00000215021.9	PHB2	T3	T3	Other
ENSG00000146070.17	PLA2G7	T3	T3	Enzyme
ENSG00000198890.9	PRMT6	T3	T3	Epigenetic
ENSG00000173653.8	RCE1	T3	T3	Enzyme
ENSG00000129465.16	RIPK3	T3	T3	Kinase
ENSG00000096717.12	SIRT1	T3	T3	Epigenetic
ENSG00000068903.20	SIRT2	T3	T3	Epigenetic
ENSG00000124523.16	SIRT5	T3	T3	Epigenetic
ENSG00000143499.14	SMYD2	T3	T3	Epigenetic
ENSG00000166483.11	WEE1	T3	T3	Kinase
ENSG00000023445.16	BIRC3	T3	T3	Other
ENSG00000141867.17	BRD4	T3	T3	Epigenetic
ENSG00000028310.18	BRD9	T3	T3	Epigenetic
ENSG00000169679.15	BUB1	T3	T3	Kinase
ENSG00000142453.12	CARM1	T3	T3	Epigenetic
ENSG00000104894.12	CD37	T3	T3	Other
ENSG00000134259.4	NGF	T3	T3	Other
ENSG00000007952.18	NOX1	T3	T3	Enzyme
ENSG00000117152.13	RGS4	T3	T3	Other
ENSG00000104312.8	RIPK2	T3	T3	Kinase
ENSG00000176170.14	SPHK1	T3	T3	Kinase
ENSG00000097046.13	CDC7	T3	T3	Kinase
ENSG00000086991.13	NOX4	T3	T3	Enzyme
ENSG00000164400.6	CSF2	T3	T3	Other
ENSG00000185000.12	DGAT1	T3	T3	Enzyme
ENSG00000262406.3	MMP12	T3	T3	Enzyme
ENSG00000100462.16	PRMT5	T3	T3	Epigenetic
ENSG00000156983.16	BRPF1	T3	T3	Epigenetic
ENSG00000117480.16	FAAH	T3	T3	Enzyme
ENSG00000198001.14	IRAK4	T3	T3	Kinase
ENSG00000110330.8	BIRC2	T3	T3	Other
ENSG00000188906.16	LRRK2	T3	T3	Kinase
ENSG00000183735.10	TBK1	T3	T3	Kinase
ENSG00000080815.19	PSEN1	T3	T3	Enzyme
ENSG00000063176.16	SPHK2	T3	T3	Kinase
ENSG00000186318.16	BACE1	T3	T3,T4	Enzyme
ENSG00000123374.11	CDK2	T3	T3,T4	Kinase
ENSG00000112062.10	MAPK14	T3	T3,T4	Kinase
ENSG00000082701.16	GSK3B	T3	T3,T4	Kinase
ENSG00000087586.17	AURKA	T3	T3,T4	Kinase
ENSG00000170312.16	CDK1	T3	T3,T4	Kinase
ENSG00000051382.9	PIK3CB	T3	T3,T4	Kinase
ENSG00000178999.13	AURKB	T3	T3,T4	Kinase
ENSG00000142208.16	AKT1	T3	T3,T4	Kinase
ENSG00000085563.15	ABCB1	T3	T3,T4,T5	Transporter
ENSG00000105221.18	AKT2	T3	T3,T4	Kinase
ENSG00000149554.13	CHEK1	T3	T3,T4	Kinase
ENSG00000112742.10	TTK	T3	T3,T4	Kinase
ENSG00000106799.13	TGFBR1	T3	T3,T5	Kinase
ENSG00000117020.18	AKT3	T3	T3,T4	Kinase
ENSG00000166501.14	PRKCB	T3	T3,T4	Kinase
ENSG00000253729.8	PRKDC	T3	T3,T4	Kinase
ENSG00000118432.12	CNR1	T3	T3,T4,T5	GPCR
ENSG00000065361.16	ERBB3	T3	T3,T4,T5	Kinase
ENSG00000164885.13	CDK5	T3	T3,T4	Kinase
ENSG00000198121.13	LPAR1	T3	T3,T4	GPCR
ENSG00000100030.15	MAPK1	T3	T3,T4	Kinase
ENSG00000140992.19	PDPK1	T3	T3,T4	Kinase
ENSG00000166851.15	PLK1	T3	T3,T4	Kinase
ENSG00000137275.14	RIPK1	T3	T3,T4	Kinase
ENSG00000128285.4	MCHR1	T3	T3,T4,T5	GPCR
ENSG00000105146.13	AURKC	T3	T3,T4	Kinase
ENSG00000121807.5	CCR2	T3	T3,T4	GPCR
ENSG00000143387.13	CTSK	T3	T3,T4	Enzyme
ENSG00000136960.12	ENPP2	T3	T3,T4	Enzyme
ENSG00000105723.12	GSK3A	T3	T3,T4	Kinase
ENSG00000162889.11	MAPKAPK2	T3	T3,T4	Kinase
ENSG00000100985.7	MMP9	T3	T3,T4	Enzyme
ENSG00000149311.18	ATM	T3	T3,T4	Kinase
ENSG00000175054.16	ATR	T3	T3,T4	Kinase
ENSG00000182240.16	BACE2	T3	T3,T4	Enzyme
ENSG00000134058.12	CDK7	T3	T3,T4	Kinase
ENSG00000136807.14	CDK9	T3	T3,T4	Kinase
ENSG00000106683.15	LIMK1	T3	T3,T4	Kinase
ENSG00000182541.18	LIMK2	T3	T3,T4	Kinase
ENSG00000197442.10	MAP3K5	T3	T3,T4	Kinase
ENSG00000109339.24	MAPK10	T3	T3,T4	Kinase
ENSG00000005381.8	MPO	T3	T3,T4	Enzyme
ENSG00000196517.13	SLC6A9	T3	T3,T4	Transporter
ENSG00000204580.13	DDR1	T3	T3,T4,T5	Kinase
ENSG00000158748.4	HTR6	T3	T3,T4,T5	GPCR
ENSG00000198400.11	NTRK1	T3	T3,T4,T5	Kinase
ENSG00000183134.5	PTGDR2	T3	T3,T4,T5	GPCR
ENSG00000137752.24	CASP1	T3	T3,T4	Enzyme
ENSG00000132964.12	CDK8	T3	T3,T4	Kinase
ENSG00000183765.22	CHEK2	T3	T3,T4	Kinase
ENSG00000013441.16	CLK1	T3	T3,T4	Kinase
ENSG00000180871.8	CXCR2	T3	T3,T4	GPCR
ENSG00000157540.21	DYRK1A	T3	T3,T4	Kinase
ENSG00000105204.14	DYRK1B	T3	T3,T4	Kinase
ENSG00000166598.15	HSP90B1	T3	T3,T4	Other
ENSG00000113263.13	ITK	T3	T3,T4	Kinase
ENSG00000166484.20	MAPK7	T3	T3,T4	Kinase
ENSG00000050748.17	MAPK9	T3	T3,T4	Kinase
ENSG00000137745.12	MMP13	T3	T3,T4	Enzyme
ENSG00000087245.13	MMP2	T3	T3,T4	Enzyme
ENSG00000149269.10	PAK1	T3	T3,T4	Kinase
ENSG00000078142.13	PIK3C3	T3	T3,T4	Kinase
ENSG00000065675.15	PRKCQ	T3	T3,T4	Kinase
ENSG00000148344.11	PTGES	T3	T3,T4	Enzyme
ENSG00000169398.19	PTK2	T3	T3,T4	Kinase
ENSG00000169836.5	TACR3	T3	T3,T4	GPCR
ENSG00000089041.17	P2RX7	T3	T3,T4,T5	Ion Channel
ENSG00000145349.17	CAMK2D	T3	T3,T4	Kinase
ENSG00000164305.19	CASP3	T3	T3,T4	Enzyme
ENSG00000155111.15	CDK19	T3	T3,T4	Kinase
ENSG00000197766.8	CFD	T3	T3,T4	Enzyme
ENSG00000080618.16	CPB2	T3	T3,T4	Enzyme
ENSG00000101266.19	CSNK2A1	T3	T3,T4	Kinase
ENSG00000070770.9	CSNK2A2	T3	T3,T4	Kinase
ENSG00000135047.15	CTSL	T3	T3,T4	Enzyme
ENSG00000163131.11	CTSS	T3	T3,T4	Enzyme
ENSG00000074603.19	DPP8	T3	T3,T4	Enzyme
ENSG00000164251.5	F2RL1	T3	T3,T4	GPCR
ENSG00000169710.9	FASN	T3	T3,T4	Enzyme
ENSG00000215644.10	GCGR	T3	T3,T4	GPCR
ENSG00000080824.19	HSP90AA1	T3	T3,T4	Other
ENSG00000004487.17	KDM1A	T3	T3,T4	Epigenetic
ENSG00000167751.13	KLK2	T3	T3,T4	Enzyme
ENSG00000169035.12	KLK7	T3	T3,T4	Enzyme
ENSG00000134013.16	LOXL2	T3	T3,T4	Enzyme
ENSG00000254087.8	LYN	T3	T3,T4	Kinase
ENSG00000137764.20	MAP2K5	T3	T3,T4	Kinase
ENSG00000173327.8	MAP3K11	T3	T3,T4	Kinase
ENSG00000139625.13	MAP3K12	T3	T3,T4	Kinase
ENSG00000135341.18	MAP3K7	T3	T3,T4	Kinase
ENSG00000006432.15	MAP3K9	T3	T3,T4	Kinase
ENSG00000107643.16	MAPK8	T3	T3,T4	Kinase
ENSG00000111142.14	METAP2	T3	T3,T4	Enzyme
ENSG00000079277.21	MKNK1	T3	T3,T4	Kinase
ENSG00000166670.10	MMP10	T3	T3,T4	Other
ENSG00000099953.10	MMP11	T3	T3,T4	Other
ENSG00000149968.12	MMP3	T3	T3,T4	Other
ENSG00000074590.13	NUAK1	T3	T3,T4	Kinase
ENSG00000137193.14	PIM1	T3	T3,T4	Kinase
ENSG00000102096.9	PIM2	T3	T3,T4	Kinase
ENSG00000163932.15	PRKCD	T3	T3,T4	Kinase
ENSG00000171132.14	PRKCE	T3	T3,T4	Kinase
ENSG00000126583.11	PRKCG	T3	T3,T4	Kinase
ENSG00000027075.15	PRKCH	T3	T3,T4	Kinase
ENSG00000067606.17	PRKCZ	T3	T3,T4	Kinase
